72000093,Brady Barcode label 0.25 x 1.25,DATALOGIC,,WHITE,,,,Polyonics,XF-781 1 MIL ESD-SAFE HIGH GLOSS WHITE POLYMIDE,WHITE,Made in Vietnam,,,MH19503-20180301
163268308,E-2683 ETICHETTA DATI FISSIAVV. LASER M300,DATALOGIC,K,"BLACK, WHITE, YELLOW",,,,Sabic + 3M,LEXAN 8B35 film 125μm+3M 468 MP ADHESIVE LAYER ,Transparent,Made in Vietnam,,,MH17478 (3M 468 MP ADHESIVE LAYER )
163311601,"LABEL, PLATTER, LOGO, LLT, MGL93 94",DATALOGIC,X4,"Black, Gray",,,,Sabic + 3M,0.5mm LEXAN FILM 8B35 + ADHESIVE 3M468 MP TRANSFER TAPE,Transparent,Made in Vietnam,,,MH17478 (ADHESIVE 3M468 MP TRANSFER TAPE)
163311611,"LABEL, PLATTER NO LOGO,LLT",DATALOGIC,X5,BLACK,,,,Sabic + 3M,0.5mm LEXAN FILM 8B35+ ADHESIVE 3M468 MP TRANSFER TAPE,Transparent,Made in Vietnam,,,MH17478 (ADHESIVE 3M468 MP TRANSFER TAPE)
163322001,FOCUS SYSTEM LABEL M120 WVGA,DATALOGIC,B,PANTONE 877C+BLACK,,,,Sabic + 3M,Lexan 8010-112 + 3M468 MP,Transparent,VIETNAM,,,"E121562 ( Lexan 8010-112)
MH17478 (ADHESIVE 3M468 MP TRANSFER TAPE)"
163322500,FOCUS SYSTEM LABEL M120 WA,DATALOGIC,A,PANTONE 877C+BLACK,,,,Sabic + 3M,Lexan 8010-112 + 3M468 MP,Transparent,Made in Vietnam,,,"E121562 (Lexan 8010-112)
MH17478 (3M 468 MP)"
163325601,M120 ICONS LABEL,DATALOGIC,D,BLACK+BLUE RAL 5002+WHITE,,,,Sabic + 3M,Lexan* 8B35 Film+ADHESIVE 3M468 MP TRANSFER TAPE,Transparent,Made in Vietnam,,,MH17478 (ADHESIVE 3M468 MP TRANSFER TAPE)
163340401,M120 ICONS LABEL BANNER,DATALOGIC,B,"BLACK, WHITE",,,,Sabic + 3M,Lexan* 8B35 Film+ADHESIVE 3M468 MP TRANSFER TAPE,Transparent,Made in Vietnam,,,MH17478 (ADHESIVE 3M468 MP TRANSFER TAPE)
163340701,ETICHETTA DATI FISSI M300 BANNER,DATALOGIC,B,"BLACK, WHITE, YELLOW",,,,Sabic + 3M,LEXAN 8B35-112 film 125µm+3M 468 MP ADHESIVE LAYER ,Transparent,Made in Vietnam,,,MH17478 (3M 468 MP ADHESIVE LAYER )
163378802,REAR-TOP LABEL P2X,DATALOGIC,C,BLACK PANTONE 6C+WHITE,,,,Sabic + 3M,LEXAN 8B35-112 film 125µm+3M 468 MP ADHESIVE LAYER ,Transparent,Made in Vietnam,,,MH17478 (3M 468 MP ADHESIVE LAYER )
163397800,DEL DATA LABEL,DATALOGIC,C,SILVER,,,,AVERY,MZ0104,SILVER,Made in Vietnam,,,MZ0104: MH25080 & MH17205
163399110,"LABEL,INTERFACE ,MAIN PCB",DATALOGIC,X1,BLACK+PANTONE 285C+PANTONE 334C+PANTONE 185C,,,,AVERY,MZ0102 2M WH PET TC/S333/BG 50WH,WHITE,Made in Vietnam,,,MH17205
163405101,"LABEL, SN, MAC ADD, TDR, CCM, ETHRNT",DATALOGIC,X1,WHITE,,,,3M,3M 7815,WHITE,Made in Vietnam,,,MH16411
163409601,"LABEL, PLATTER NO LOGO,LLT",DATALOGIC,X2,BLACK,,,,Sabic + 3M,0.5mm LEXAN FILM 8B35+ ADHESIVE 3M468 MP TRANSFER TAPE,CLEAR,Made in Vietnam,,,MH17478 (3M 468 MP ADHESIVE LAYER )
163416300,LOGO LABEL M15 SSD WIRED CHARGE ONLY,DATALOGIC,B,BLACK+PANTONE 8402C,,,,Sabic + 3M,Lexan 8B35V T=0.125+3M 467MP,Transparent,Made in Vietnam,,,"E539253 & E539157 ( LEXAN 8B35V T=0.125)
MH17478 (3M 467MP)"
176123502,"THERMAL PAD,CPU 17X17X2.5MM",DATALOGIC,X3,Blue,,,,T-Global,"THERMAL PAD, T-GLOBAL: TG-AI250",Blue,Made in Vietnam,,,
176123602,"THERMAL PAD, RGMII ETH PHY 8X8MMX2.5MM",DATALOGIC,X2,Blue,,,,T-Global,"THERMAL PAD, T-GLOBAL: TG-AI250",Blue,Made in Vietnam,,,
176124302,"THERMAL PAD, CPU 13.3 X 13.3 X 2.5MM TG",DATALOGIC,X1,Blue,,,,T-Global,"THERMAL PAD, T-GLOBAL: TG-AI250",Blue,Made in Vietnam,,,
176124802,"THERMALPAD, HZCCM, MOUNT 2.5MM",DATALOGIC,X1,Blue,,,,T-Global,"THERMAL PAD, T-GLOBAL: TG-AI250",Blue,Made in Vietnam,,,
176130701,"SEAL, UPPER-TOCONES",DATALOGIC,X1,Transparent,,,,Lintec,LINTEC PET50(A) PAT1 8LK,Transparent,Made in Vietnam,,,3755BZ50
296029502,"SEAL, FOAM, ETHERNET",DATALOGIC,X2,Black,,,,Roges + 3M,PORON FOAM 4701-50- 30020-04 W/ 3M ADHESIVE 9495MP (5.7 MIL THICK DOUBLE COATED TAPE),Black,Made in Vietnam,,,MH15464 (PORON FOAM 4701-50-30020-04 W)
298083702,"TAPE, REFLECTOR, CFR, SHORT TDR",DATALOGIC,X3,WHITE,,,,3M,"3M 7815, MATTE WHITE, POLYESTER",WHITE,Made in Vietnam,,,MH16411
160014101,DS-141 HEATSINK M320,DATALOGIC,B,Light Pink,,,,T-Global,PC94 Thermal Conductive Pad t-Global,Light Pink,Made in Vietnam,,,
